registro,especie,publicacao_selecionada,localidade,estado,Latitude_GMS,Longitude_GMS,Latitude,Longitude,UC
186,Bradypus variegatus,"Veríssimo et al, 2022",Estação Biológica Fiocruz Mata Atlântica,RJ,"22°56'25"" S","43°24'18""W",-22.94027778,-43.405,Sim
187,Tamandua tetradactyla,"Veríssimo et al, 2022",Estação Biológica Fiocruz Mata Atlântica,RJ,"22°56'25"" S","43°24'18""W",-22.94027778,-43.405,Sim
188,Callithrix sp.,"Veríssimo et al, 2022",Estação Biológica Fiocruz Mata Atlântica,RJ,"22°56'25"" S","43°24'18""W",-22.94027778,-43.405,Sim
189,Leontopithecus rosalia,"Veríssimo et al, 2022",Estação Biológica Fiocruz Mata Atlântica,RJ,"22°56'25"" S","43°24'18""W",-22.94027778,-43.405,Sim
190,Sapajus nigritus,"Veríssimo et al, 2022",Estação Biológica Fiocruz Mata Atlântica,RJ,"22°56'25"" S","43°24'18""W",-22.94027778,-43.405,Sim
191,Cerdocyon thous,"Veríssimo et al, 2022",Estação Biológica Fiocruz Mata Atlântica,RJ,"22°56'25"" S","43°24'18""W",-22.94027778,-43.405,Sim
192,Canis lupus familiaris,"Veríssimo et al, 2022",Estação Biológica Fiocruz Mata Atlântica,RJ,"22°56'25"" S","43°24'18""W",-22.94027778,-43.405,Sim
193,Nasua nasua,"Veríssimo et al, 2022",Estação Biológica Fiocruz Mata Atlântica,RJ,"22°56'25"" S","43°24'18""W",-22.94027778,-43.405,Sim
194,Procyon cancrivorus,"Veríssimo et al, 2022",Estação Biológica Fiocruz Mata Atlântica,RJ,"22°56'25"" S","43°24'18""W",-22.94027778,-43.405,Sim
195,Leopardus guttulus,"Veríssimo et al, 2022",Estação Biológica Fiocruz Mata Atlântica,RJ,"22°56'25"" S","43°24'18""W",-22.94027778,-43.405,Sim
196,Felis catus,"Veríssimo et al, 2022",Estação Biológica Fiocruz Mata Atlântica,RJ,"22°56'25"" S","43°24'18""W",-22.94027778,-43.405,Sim
197,Coendou spinosus,"Veríssimo et al, 2022",Estação Biológica Fiocruz Mata Atlântica,RJ,"22°56'25"" S","43°24'18""W",-22.94027778,-43.405,Sim
198,Cuniculus paca,"Veríssimo et al, 2022",Estação Biológica Fiocruz Mata Atlântica,RJ,"22°56'25"" S","43°24'18""W",-22.94027778,-43.405,Sim
199,Dasyprocta leporina,"Veríssimo et al, 2022",Estação Biológica Fiocruz Mata Atlântica,RJ,"22°56'25"" S","43°24'18""W",-22.94027778,-43.405,Sim
200,Sylvilagus tapetillus,"Veríssimo et al, 2022",Estação Biológica Fiocruz Mata Atlântica,RJ,"22°56'25"" S","43°24'18""W",-22.94027778,-43.405,Sim
